3416050480.jpg#4	neutral	A person on a horse jumps over a broken down airplane.	A person is training his horse for a competition.
3416050480.jpg#4	contradiction	A person on a horse jumps over a broken down airplane.	A person is at a diner, ordering an omelette.
3416050480.jpg#4	entailment	A person on a horse jumps over a broken down airplane.	A person is outdoors, on a horse.
2267923837.jpg#2	neutral	Children smiling and waving at camera	They are smiling at their parents
2267923837.jpg#2	entailment	Children smiling and waving at camera	There are children present
2267923837.jpg#2	contradiction	Children smiling and waving at camera	The kids are frowning
3691670743.jpg#0	contradiction	A boy is jumping on skateboard in the middle of a red bridge.	The boy skates down the sidewalk.
3691670743.jpg#0	entailment	A boy is jumping on skateboard in the middle of a red bridge.	The boy does a skateboarding trick.
3691670743.jpg#0	neutral	A boy is jumping on skateboard in the middle of a red bridge.	The boy is wearing safety equipment.
4804607632.jpg#0	neutral	An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.	An older man drinks his juice as he waits for his daughter to get off work.
4804607632.jpg#0	contradiction	An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.	A boy flips a burger.
4804607632.jpg#0	neutral	An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.	An elderly man sits in a small shop.
4705552913.jpg#4	neutral	Two blond women are hugging one another.	Some women are hugging on vacation.
4705552913.jpg#4	contradiction	Two blond women are hugging one another.	The women are sleeping.
4705552913.jpg#4	entailment	Two blond women are hugging one another.	There are women showing affection.
4804607632.jpg#2	neutral	A few people in a restaurant setting, one of them is drinking orange juice.	The people are eating omelettes.
4804607632.jpg#2	contradiction	A few people in a restaurant setting, one of them is drinking orange juice.	The people are sitting at desks in school.
4804607632.jpg#2	entailment	A few people in a restaurant setting, one of them is drinking orange juice.	The diners are at a restaurant.
4804607632.jpg#3	entailment	An older man is drinking orange juice at a restaurant.	A man is drinking juice.
4804607632.jpg#3	contradiction	An older man is drinking orange juice at a restaurant.	Two women are at a restaurant drinking wine.
4804607632.jpg#3	neutral	An older man is drinking orange juice at a restaurant.	A man in a restaurant is waiting for his meal to arrive.
4850814517.jpg#1	neutral	A man with blond-hair, and a brown shirt drinking out of a public water fountain.	A blond man getting a drink of water from a fountain in the park.
4850814517.jpg#1	contradiction	A man with blond-hair, and a brown shirt drinking out of a public water fountain.	A blond man wearing a brown shirt is reading a book on a bench in the park
4850814517.jpg#1	entailment	A man with blond-hair, and a brown shirt drinking out of a public water fountain.	A blond man drinking water from a fountain.
4705552913.jpg#0	contradiction	Two women who just had lunch hugging and saying goodbye.	The friends scowl at each other over a full dinner table.
4705552913.jpg#0	entailment	Two women who just had lunch hugging and saying goodbye.	There are two woman in this picture.
4705552913.jpg#0	neutral	Two women who just had lunch hugging and saying goodbye.	The friends have just met for the first time in 20 years, and have had a great time catching up.
4705552913.jpg#3	neutral	Two women, holding food carryout containers, hug.	The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.
4705552913.jpg#3	contradiction	Two women, holding food carryout containers, hug.	Two groups of rival gang members flipped each other off.
4705552913.jpg#3	entailment	Two women, holding food carryout containers, hug.	Two women hug each other.
3637966641.jpg#1	neutral	A Little League team tries to catch a runner sliding into a base in an afternoon game.	A team is trying to score the games winning out.
3637966641.jpg#1	entailment	A Little League team tries to catch a runner sliding into a base in an afternoon game.	A team is trying to tag a runner out.
